Linea;Línea Unificada;Canal de distribución;Anio;Mes;Fac Impo Bruto;Costo Total Com;Fac Kilos;Comercial Kilos;Anul Fact Kilos;Dev Irrecup Kilos;Dev Reparto Kilos
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Octubre;166534658;89292205;466167;452923;0;205;2881
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Noviembre;187509167;102291122;497478;492192;0;153;3922
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2021;Diciembre;188263039;96717899;492625;460078;0;123;6377
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2022;Enero;155357394;74699044;406015;435938;0;145;1079
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2022;Febrero;197008110;96476132;482583;484742;0;511;7600
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2022;Marzo;229721794;96119482;550243;463101;0;515;821
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2022;Abril;179716443;92414478;419165;482873;0;389;298
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2022;Mayo;222009833;129590130;492635;428000;0;435;2547
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2022;Junio;224256640;131648472;476666;519707;0;334;6510
YERBA MATE TRADICIONAL;Yerba Mate;Distribuidores;2022;Julio;91494358;1512579;187572;3438;0;55;103
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Enero;10123930;4830223;238170;218343;0;296;11589
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Febrero;9817967;6274986;229729;287750;0;267;2948
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Marzo;12697587;4868221;290364;220268;0;627;2458
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Abril;12170300;6651283;268894;306402;0;376;607
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Mayo;11769554;5056019;264608;237608;0;692;4180
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Junio;12792610;7259495;284244;322627;0;270;1674
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Julio;13326647;5409956;285008;230809;0;1062;1227
YERBA MATE TRADICIONAL;Yerba Mate;Supermercados;2017;Agosto;11402111;5769922;235112;240474;0;565;4185
